"","waluta","cena","Oferta od","Kategoria","Marka pojazdu","Model pojazdu","Wersja","Rok produkcji","Przebieg","Pojemnoœæ skokowa","Rodzaj paliwa","Moc","Skrzynia biegów","Napêd","Uszkodzony","Typ","Liczba drzwi","Liczba miejsc","Kolor","Metalik","Zarejestrowany w Polsce","Stan","Per³owy","Kraj pochodzenia","Pierwsza rejestracja","Numer rejestracyjny pojazdu","Serwisowany w ASO","VAT mar¿a","Mo¿liwoœæ finansowania","Faktura VAT","Bezwypadkowy","Leasing","Tuning","Pierwszy w³aœciciel","Generacja","Akryl (niemetalizowany)","Emisja CO2","Filtr cz¹stek sta³ych","Zarejestrowany jako zabytek","Gwarancja dealerska (w cenie)","Matowy","lub do (przebieg km)","VIN","Miesiêczna rata","Okres gwarancji producenta","Homologacja ciê¿arowa","Warranty if agreed with the buyer"
"1:285","PLN","3 999","Osoby prywatnej","Osobowe","Audi","A4",NA,"1998","300 000 km","1 896 cm3","Diesel","110 KM","Manualna",NA,NA,"Kombi","5",NA,"Niebieski",NA,NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:286","PLN","4 500","Osoby prywatnej","Osobowe","Audi","A4","ver-avant-1-8","1998","241 525 km","1 781 cm3","Benzyna+LPG","125 KM","Manualna","Na przednie ko³a",NA,"Sedan","5","5","Srebrny",NA,NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B5 (1995-2001)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:287","PLN","3 999","Firmy","Osobowe","Audi","A6",NA,"1998","305 000 km","2 393 cm3","Benzyna+LPG","164 KM","Automatyczna","Na przednie ko³a",NA,"Sedan","5",NA,"Srebrny",NA,NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C5 (1997-2004)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:288","PLN","4 900","Osoby prywatnej","Osobowe","Audi","A3",NA,"1998","217 000 km","1 595 cm3","Benzyna","101 KM","Manualna","Na przednie ko³a",NA,"Auta miejskie","3","5","Srebrny","Tak","Tak","U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8L (1996-2003)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:289","PLN","2 550","Osoby prywatnej","Osobowe","Audi","A4","1.8","1998","342 000 km","1 781 cm3","Benzyna+LPG","125 KM","Manualna","Na przednie ko³a",NA,"Sedan","4","5","Srebrny","Tak",NA,"U¿ywane",NA,"Polska","21/08/1998","DKA83RJ",NA,NA,NA,NA,"Tak",NA,NA,NA,"B5 (1995-2001)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:290","PLN","7 900","Osoby prywatnej","Osobowe","Audi","A6",NA,"1998","288 000 km","1 781 cm3","Benzyna+LPG","150 KM","Manualna",NA,NA,"Auta miejskie","5","5","Szary","Tak",NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C5 (1997-2004)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:291","PLN","4 900","Osoby prywatnej","Osobowe","Audi","A6",NA,"1998","315 000 km","1 781 cm3","Benzyna+LPG","149 KM","Manualna","Na przednie ko³a",NA,"Sedan","5","5","Srebrny",NA,"Tak","U¿ywane",NA,"Niemcy","10/11/2016","KR1V326",NA,NA,NA,NA,NA,NA,NA,NA,"C5 (1997-2004)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:292","PLN","4 500","Osoby prywatnej","Osobowe","Audi","A6",NA,"1998","260 000 km","1 781 cm3","Benzyna","149 KM","Automatyczna",NA,NA,"Kombi","5","5","Fioletowy",NA,"Tak","U¿ywane",NA,NA,NA,"PN19695",NA,NA,NA,NA,NA,NA,NA,NA,"C5 (1997-2004)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:293","PLN","9 900","Firmy","Osobowe","Audi","A6",NA,"1998","195 236 km","2 393 cm3","Benzyna","121 KM","Manualna","4x4 (sta³y)",NA,"Sedan","4","5","Inny kolor","Tak",NA,"U¿ywane","Tak","Niemcy","19/03/1998","UMHL867","Tak","Tak",NA,NA,"Tak",NA,NA,NA,"C5 (1997-2004)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:294","PLN","4 999","Osoby prywatnej","Osobowe","Audi","A4",NA,"1998","350 000 km",NA,"Diesel",NA,NA,NA,NA,"Sedan","5","5","Czarny",NA,NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B5 (1995-2001)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:295","PLN","11 500","Osoby prywatnej","Osobowe","Audi","TT",NA,"1998","320 000 km","1 799 cm3","Benzyna","180 KM","Manualna",NA,NA,"Coupe","3",NA,"Niebieski",NA,"Tak","U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8N (1998-2006)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:296","PLN","7 500","Osoby prywatnej","Osobowe","Audi","A3",NA,"1998","270 000 km","1 984 cm3","Benzyna+LPG","150 KM","Manualna","Na przednie ko³a",NA,"Kompakt","3","5","Niebieski",NA,NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8L (1996-2003)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:297","PLN","14 000","Osoby prywatnej","Osobowe","Audi","A8",NA,"1998","336 000 km","4 200 cm3","Benzyna","299 KM","Automatyczna","4x4 (do³¹czany automatycznie)",NA,"Sedan","4",NA,"Czarny",NA,NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D2 (1994-2002)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:298","PLN","4 999","Firmy","Osobowe","Audi","A3",NA,"1998","234 390 km","1 600 cm3","Benzyna","101 KM","Manualna","Na przednie ko³a",NA,"Kompakt","3","5","Niebieski","Tak",NA,"U¿ywane",NA,"Niemcy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8L (1996-2003)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:299","PLN","14 100","Osoby prywatnej","Osobowe","Audi","TT",NA,"1998","266 118 km","1 781 cm3","Benzyna","180 KM","Manualna","Na przednie ko³a",NA,"Coupe","2","4","Czarny","Tak","Tak","U¿ywane",NA,"Polska","08/11/1999","ZS678JP",NA,NA,NA,NA,NA,NA,NA,NA,"8N (1998-2006)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:300","PLN","7 000","Osoby prywatnej","Osobowe","Audi","A4","Avant 1.8T","1998","212 000 km","1 781 cm3","Benzyna+LPG","150 KM","Manualna","Na przednie ko³a",NA,"Kombi","5","5","Czarny",NA,"Tak","U¿ywane",NA,NA,"25/02/1999",NA,NA,NA,NA,NA,NA,NA,NA,NA,"B5 (1995-2001)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:301","PLN","5 999","Firmy","Osobowe","Audi","A6",NA,"1998","300 000 km","2 400 cm3","Benzyna","165 KM","Manualna","Na przednie ko³a",NA,"Sedan","5","5","Niebieski","Tak","Tak","U¿ywane",NA,"Niemcy",NA,NA,NA,"Tak",NA,NA,NA,NA,NA,"Tak","C5 (1997-2004)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:302","PLN","17 000","Osoby prywatnej","Osobowe","Audi","S8","4.2 Quattro Tiptronic","1998","330 000 km","4 172 cm3","Benzyna","340 KM","Automatyczna","4x4 (do³¹czany automatycznie)",NA,"Sedan","4","5","Czarny",NA,NA,"U¿ywane",NA,NA,"02/06/1998","POT28WK",NA,NA,NA,NA,NA,NA,NA,NA,"D2 (1994-2002)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:303","PLN","14 900","Osoby prywatnej","Osobowe","Audi","Cabriolet","1.9 TDI","1998","260 523 km","1 896 cm3","Diesel","90 KM","Manualna","Na przednie ko³a",NA,"Kabriolet","2","4","Czarny",NA,"Tak","U¿ywane",NA,NA,NA,NA,"Tak",NA,"Tak",NA,"Tak",NA,NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:304","PLN","8 500","Firmy","Osobowe","Audi","A6",NA,"1998","247 000 km","1 781 cm3","Benzyna","150 KM","Automatyczna","Na przednie ko³a",NA,"Sedan","4","5","Niebieski","Tak","Tak","U¿ywane",NA,NA,NA,NA,NA,"Tak","Tak",NA,NA,NA,NA,"Tak","C5 (1997-2004)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:305","PLN","4 900","Osoby prywatnej","Osobowe","Audi","A3",NA,"1998","368 585 km","1 595 cm3","Benzyna+LPG","101 KM","Manualna","Na przednie ko³a",NA,"Kompakt","3","5","Inny kolor",NA,"Tak","U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tak",NA,"8L (1996-2003)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:306","PLN","2 850","Osoby prywatnej","Osobowe","Audi","A3",NA,"1998","300 000 km","1 600 cm3","Benzyna","102 KM","Manualna",NA,NA,"Kompakt","3","5","Srebrny","Tak","Tak","U¿ywane",NA,NA,NA,NA,NA,NA,"Tak",NA,NA,NA,NA,NA,"8L (1996-2003)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:307","PLN","14 900","Firmy","Osobowe","Audi","A6",NA,"1998","160 000 km","2 393 cm3","Benzyna","165 KM","Automatyczna","4x4 (sta³y)",NA,"Sedan","4","5","Srebrny","Tak","Tak","U¿ywane",NA,NA,NA,NA,"Tak","Tak",NA,NA,"Tak",NA,NA,"Tak","C5 (1997-2004)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:308","PLN","2 050","Osoby prywatnej","Osobowe","Audi","A4","1.8","1998","232 000 km","1 781 cm3","Benzyna","125 KM","Manualna","Na przednie ko³a",NA,"Sedan","4","5","Szary",NA,NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B5 (1995-2001)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:309","PLN","1 500","Osoby prywatnej","Osobowe","Audi","TT",NA,"1998","199 000 km","1 781 cm3","Benzyna+LPG","180 KM","Manualna",NA,"Tak","Auta ma³e","2",NA,"Srebrny",NA,NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:310","PLN","8 900","Firmy","Osobowe","Audi","A6",NA,"1998","227 000 km","2 771 cm3","Benzyna","193 KM","Automatyczna","Na przednie ko³a",NA,"Kombi","5","5","Srebrny","Tak",NA,"U¿ywane",NA,NA,"04/09/1998","CLL146",NA,"Tak",NA,NA,"Tak",NA,NA,NA,"C5 (1997-2004)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:311","PLN","7 700","Osoby prywatnej","Osobowe","Audi","A6",NA,"1998","261 000 km","1 800 cm3","Benzyna","150 KM","Manualna","Na przednie ko³a",NA,"Sedan","4","5","Bordowy","Tak",NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C5 (1997-2004)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:312","PLN","4 500","Osoby prywatnej","Osobowe","Audi","A3",NA,"1998","261 519 km","1 781 cm3","Benzyna","149 KM","Manualna","Na przednie ko³a",NA,"Auta miejskie","3","4","Niebieski",NA,NA,"U¿ywane",NA,NA,"30/12/1998","GD-381KC",NA,NA,NA,NA,NA,NA,NA,NA,"8L (1996-2003)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:313","PLN","8 600","Firmy","Osobowe","Audi","A8",NA,"1998","298 767 km","2 500 cm3","Diesel","150 KM","Manualna",NA,NA,"Sedan","4","5","Szary","Tak","Tak","U¿ywane","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D2 (1994-2002)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:314","PLN","10 900","Osoby prywatnej","Osobowe","Audi","A6",NA,"1998","159 000 km","1 781 cm3","Benzyna","125 KM","Manualna","Na przednie ko³a",NA,"Sedan","3","5","Inny kolor","Tak",NA,"U¿ywane","Tak","Niemcy",NA,NA,NA,NA,NA,NA,"Tak",NA,NA,NA,"C5 (1997-2004)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:315","PLN","13 000","Osoby prywatnej","Osobowe","Audi","TT",NA,"1998","218 699 km","1 800 cm3","Benzyna","200 KM","Manualna",NA,NA,"Coupe","3",NA,"Niebieski",NA,NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8N (1998-2006)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:316","PLN","3 150","Firmy","Osobowe","Audi","A6",NA,"1998","308 000 km","2 393 cm3","Benzyna","165 KM","Automatyczna","Na przednie ko³a",NA,"Kombi","5","5","Fioletowy","Tak",NA,"U¿ywane",NA,"Niemcy",NA,NA,NA,"Tak",NA,NA,NA,NA,NA,NA,"C5 (1997-2004)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:317","PLN","5 500","Firmy","Osobowe","Audi","A3","8l-1996-2003","1998","290 000 km","1 781 cm3","Benzyna","125 KM","Manualna",NA,NA,"Kompakt","3","5","Niebieski","Tak","Tak","U¿ywane",NA,"Niemcy",NA,NA,NA,"Tak","Tak",NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:318","PLN","12 900","Firmy","Osobowe","Audi","TT","Coupe 1.8T","1998","279 000 km","1 781 cm3","Benzyna+LPG","180 KM","Manualna","Na przednie ko³a",NA,"Coupe","2","4","Srebrny","Tak","Tak","U¿ywane","Tak","Niemcy","01/09/1998","WCI56906",NA,"Tak",NA,NA,NA,NA,NA,NA,"8N (1998-2006)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:319","PLN","17 900","Firmy","Osobowe","Audi","TT",NA,"1998","153 000 km","1 781 cm3","Benzyna+LPG","180 KM","Manualna","Na przednie ko³a",NA,"Coupe","2","4","Srebrny","Tak","Tak","U¿ywane",NA,"Niemcy","06/12/1998",NA,"Tak","Tak",NA,NA,NA,NA,NA,NA,"8N (1998-2006)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:320","PLN","3 300","Osoby prywatnej","Osobowe","Audi","A3",NA,"1998","198 970 km","1 595 cm3","Benzyna","101 KM","Manualna",NA,NA,"Kompakt","3",NA,"Czarny",NA,NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8L (1996-2003)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:321","PLN","6 999","Osoby prywatnej","Osobowe","Audi","A6",NA,"1998","313 470 km","1 781 cm3","Benzyna+LPG","150 KM","Manualna","Na przednie ko³a",NA,"Kombi","5","5","Inny kolor",NA,"Tak","U¿ywane",NA,NA,"07/07/1998","WM2474M",NA,NA,NA,NA,"Tak",NA,NA,NA,"C5 (1997-2004)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:322","PLN","6 800","Osoby prywatnej","Osobowe","Audi","A3",NA,"1998","220 021 km","1 595 cm3","Benzyna","101 KM","Manualna","Na przednie ko³a",NA,"Kompakt","3","5","Zielony","Tak","Tak","U¿ywane",NA,"Niemcy","19/02/1998","CRANS33",NA,NA,NA,NA,NA,NA,NA,NA,"8L (1996-2003)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:323","PLN","2 300","Osoby prywatnej","Osobowe","Audi","A6",NA,"1998","338 000 km","2 489 cm3","Diesel","149 KM","Manualna",NA,NA,"Kombi","5",NA,"Niebieski",NA,NA,"U¿ywane",NA,NA,"30/08/2006","PZ459MY",NA,NA,NA,NA,NA,NA,NA,NA,"C5 (1997-2004)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:324","PLN","7 500","Osoby prywatnej","Osobowe","Audi","A6",NA,"1998","299 897 km","2 393 cm3","Benzyna+LPG","164 KM","Manualna","Na przednie ko³a",NA,"Sedan","5","5","Zielony",NA,NA,"U¿ywane",NA,NA,NA,"fz6083n",NA,NA,NA,NA,NA,NA,NA,NA,"C5 (1997-2004)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:325","PLN","4 600","Osoby prywatnej","Osobowe","Audi","A4",NA,"1998","312 000 km","1 900 cm3","Diesel","110 KM","Manualna","Na przednie ko³a",NA,"Kombi","5",NA,"Niebieski",NA,"Tak","U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B5 (1995-2001)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:326","PLN","7 500","Firmy","Osobowe","Audi","A4",NA,"1998","209 000 km","1 798 cm3","Benzyna",NA,"Automatyczna",NA,NA,"Sedan",NA,NA,"Srebrny",NA,NA,"U¿ywane",NA,"Niemcy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B5 (1995-2001)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:327","PLN","7 900","Firmy","Osobowe","Audi","A6",NA,"1998","352 000 km","2 771 cm3","Benzyna+LPG","193 KM","Automatyczna","4x4 (sta³y)",NA,"Kompakt","5","5","Szary","Tak","Tak","U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C5 (1997-2004)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:328","PLN","7 900","Firmy","Osobowe","Audi","A6",NA,"1998","252 000 km","2 393 cm3","Benzyna","165 KM","Automatyczna","Na przednie ko³a",NA,"Kombi","5","5","Czarny","Tak","Tak","U¿ywane",NA,"Niemcy","22/10/1998","WOR69802","Tak","Tak",NA,NA,"Tak",NA,NA,NA,"C5 (1997-2004)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:329","PLN","1 300","Osoby prywatnej","Osobowe","Audi","A4","Avant 1.6","1998","315 000 km","1 595 cm3","Benzyna+LPG","101 KM","Manualna","Na przednie ko³a","Tak","Kombi","5","5","Inny kolor",NA,"Tak","U¿ywane",NA,"Niemcy","17/05/2010",NA,NA,NA,NA,NA,"Tak",NA,NA,NA,"B5 (1995-2001)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:330","PLN","4 500","Osoby prywatnej","Osobowe","Audi","A4","1.9 TDI","1998","362 000 km","1 896 cm3","Diesel","110 KM","Manualna","Na przednie ko³a",NA,"Sedan","4","5","Inny kolor","Tak",NA,"U¿ywane",NA,"Niemcy","23/02/1999","PCT24255",NA,NA,NA,NA,"Tak",NA,NA,NA,"B5 (1995-2001)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:331","PLN","1 800","Osoby prywatnej","Osobowe","Audi","A3",NA,"1998","272 000 km","1 595 cm3","Benzyna+LPG","101 KM","Manualna",NA,NA,"Auta miejskie","3","5","Czarny",NA,NA,"U¿ywane","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8L (1996-2003)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:332","PLN","3 000","Osoby prywatnej","Osobowe","Audi","A6",NA,"1998","522 100 km","2 771 cm3","Benzyna+LPG","193 KM","Manualna","Na przednie ko³a",NA,"Kombi","5","5","Niebieski",NA,"Tak","U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C5 (1997-2004)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:333","PLN","2 650","Osoby prywatnej","Osobowe","Audi","A3",NA,"1998","320 000 km","1 896 cm3","Diesel","110 KM","Manualna",NA,NA,"Coupe","3","5","Srebrny",NA,NA,"U¿ywane",NA,NA,"05/03/1998","tk3071e",NA,NA,NA,NA,NA,NA,NA,NA,"8L (1996-2003)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:334","PLN","7 500","Osoby prywatnej","Osobowe","Audi","A6",NA,"1998","344 844 km","2 496 cm3","Diesel","149 KM","Manualna","Na przednie ko³a",NA,"Kombi","5","5","Zielony","Tak","Tak","U¿ywane",NA,NA,"23/07/2007","PZ1841G",NA,NA,NA,NA,"Tak",NA,NA,"Tak","C5 (1997-2004)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:335","PLN","9 000","Osoby prywatnej","Osobowe","Audi","A6",NA,"1998","292 526 km","2 393 cm3","Benzyna","164 KM","Manualna",NA,NA,"Sedan","5","5","Inny kolor","Tak","Tak","U¿ywane",NA,NA,"01/01/1998","TST55897",NA,NA,NA,NA,"Tak",NA,NA,"Tak","C5 (1997-2004)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:336","PLN","11 999","Osoby prywatnej","Osobowe","Audi","A6",NA,"1998","372 000 km","2 771 cm3","Benzyna+LPG","193 KM","Manualna","4x4 (sta³y)",NA,"Sedan","4","5","Zielony",NA,"Tak","U¿ywane",NA,"Polska","15/12/1998","SGL5YF4",NA,"Tak",NA,"Tak",NA,NA,"Tak",NA,"C5 (1997-2004)",NA,NA,NA,NA,NA,"Tak",NA,NA,NA,NA,NA,NA
"1:337","PLN","5 900","Firmy","Osobowe","Audi","A4",NA,"1998","202 000 km","1 781 cm3","Benzyna","125 KM","Manualna",NA,NA,"Sedan","5","5","Srebrny","Tak","Tak","U¿ywane",NA,NA,NA,NA,NA,NA,"Tak",NA,"Tak",NA,NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:338","PLN","10 000","Osoby prywatnej","Osobowe","Audi","A3",NA,"1998","330 000 km","1 800 cm3","Benzyna","150 KM","Manualna","Na przednie ko³a",NA,"Auta miejskie","3","5","Inny kolor","Tak","Tak","U¿ywane",NA,"Niemcy","01/10/1998","SO8350R",NA,NA,NA,NA,"Tak",NA,"Tak",NA,"8L (1996-2003)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:339","PLN","5 900","Osoby prywatnej","Osobowe","Audi","A6",NA,"1998","256 803 km","2 393 cm3","Benzyna","165 KM","Manualna","Na przednie ko³a",NA,"Sedan","5",NA,"Bordowy",NA,NA,"U¿ywane",NA,NA,NA,NA,"Tak",NA,NA,NA,"Tak",NA,NA,NA,"C5 (1997-2004)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:340","PLN","8 500","Osoby prywatnej","Osobowe","Audi","A6",NA,"1998","282 924 km","1 781 cm3","Benzyna+LPG","149 KM","Manualna","Na przednie ko³a",NA,"Sedan","5","5","Niebieski","Tak","Tak","U¿ywane",NA,"Niemcy",NA,"DKLXS11",NA,"Tak",NA,NA,NA,NA,NA,NA,"C5 (1997-2004)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:341","PLN","4 500","Osoby prywatnej","Osobowe","Audi","A4","Avant 1.9 TDI","1998","503 340 km","1 896 cm3","Diesel","110 KM","Manualna","Na przednie ko³a",NA,"Kombi","5","5","Inny kolor",NA,NA,"U¿ywane",NA,"Polska","29/11/2009","NIL38343",NA,NA,NA,NA,NA,NA,NA,NA,"B5 (1995-2001)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:342","PLN","2 500","Osoby prywatnej","Osobowe","Audi","A3",NA,"1998","225 000 km","1 595 cm3","Benzyna","101 KM","Manualna","Na przednie ko³a",NA,"Auta ma³e","3",NA,"Czarny",NA,"Tak","U¿ywane",NA,NA,NA,"DJEAR25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:343","PLN","6 200","Osoby prywatnej","Osobowe","Audi","A6",NA,"1998","380 000 km","1 896 cm3","Diesel","110 KM","Manualna",NA,NA,"Sedan","4","5","Bordowy","Tak",NA,"U¿ywane","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tak","C5 (1997-2004)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:344","PLN","4 999","Osoby prywatnej","Osobowe","Audi","A3",NA,"1998","198 000 km","1 781 cm3","Benzyna","125 KM","Manualna","Na przednie ko³a",NA,"Kompakt","3","5","Z³oty","Tak",NA,"U¿ywane","Tak","Niemcy","30/10/1998","BYV190","Tak",NA,NA,NA,"Tak",NA,NA,NA,"8L (1996-2003)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:345","PLN","3 999","Osoby prywatnej","Osobowe","Audi","A4",NA,"1998","203 200 km","1 595 cm3","Benzyna","101 KM","Manualna","Na przednie ko³a",NA,"Sedan","4","5","Zielony","Tak",NA,"U¿ywane",NA,"Niemcy","27/11/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,"B5 (1995-2001)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:346","PLN","20 500","Osoby prywatnej","Osobowe","Audi","S4","Avant 2.7 Quattro","1998","260 000 km","2 671 cm3","Benzyna+LPG","265 KM","Manualna","4x4 (sta³y)",NA,"Kombi","5","5","Srebrny",NA,"Tak","U¿ywane",NA,"Polska",NA,NA,NA,NA,NA,NA,NA,NA,"Tak",NA,"B5 (1995-2001)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:347","PLN","3 900","Osoby prywatnej","Osobowe","Audi","A6",NA,"1998","204 700 km","2 393 cm3","Benzyna","165 KM","Manualna",NA,NA,"Sedan","5",NA,"Fioletowy",NA,NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C5 (1997-2004)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:348","PLN","3 500","Osoby prywatnej","Osobowe","Audi","A3",NA,"1998","296 000 km",NA,"Benzyna",NA,NA,NA,NA,"Kompakt",NA,NA,"Srebrny",NA,NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8L (1996-2003)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:349","PLN","5 900","Osoby prywatnej","Osobowe","Audi","A6",NA,"1998","227 000 km","1 781 cm3","Benzyna","149 KM","Manualna","Na przednie ko³a",NA,"Sedan","5","5","Srebrny",NA,"Tak","U¿ywane",NA,NA,"12/10/1998","SH4484C",NA,NA,NA,NA,NA,NA,NA,NA,"C5 (1997-2004)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:350","PLN","5 950","Osoby prywatnej","Osobowe","Audi","A4","Avant 1.6","1998","250 000 km","1 595 cm3","Benzyna","101 KM","Manualna","Na przednie ko³a",NA,"Kombi","5","5","Czarny","Tak",NA,"U¿ywane","Tak","Niemcy",NA,NA,"Tak",NA,NA,NA,NA,NA,NA,NA,"B5 (1995-2001)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
